Tag,Parent_Tag,Attr_For,Num_Children,Num_Siblings,Depth,X_Percent,Y_Percent,Font_Size,Font_Weight,Is_Text,Nearest_Color,Nearest_Bg_Color,Distance_From_Input,Class
label,div,1.0,0.0,0.125,0.6957,0.1122,0.9898,0.2105,0.0,1.0,grey,black,0.0028,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7698,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2857,0.7143,0.5306,0.6468,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8440000000000001,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.7143,0.5306,0.695,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.4286,0.619,0.5306,0.9007,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.1633,0.6667,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.4286,0.619,0.1633,0.9206,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.3469,0.8175,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8156,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2857,0.8095,0.1633,0.7619,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2857,0.7143,0.5306,0.6667,0.1176,0.0,1.0,red,black,0.0044,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.1633,0.6468,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2857,0.8095,0.5306,0.7619,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,0.0,0.0,0.2857,0.6667,0.1633,0.8968,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2857,0.7143,0.5306,0.6587,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8373,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,0.0,0.0,0.1429,0.6667,0.1633,0.8809999999999999,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,0.0,0.0,0.2857,0.6667,0.1633,0.8889,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2,0.7778,0.1633,0.8509,0.1176,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.1633,0.7183,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
#text,td,0.0,0.0,0.1111,1.0,0.7391,0.2807,0.0,0.0,1.0,white,black,0.0234,LabelCandidate
#text,td,0.0,0.0,0.2778,1.0,0.8043,0.8772,0.0,0.0,1.0,white,black,0.0231,LabelCandidate
#text,td,0.0,0.0,0.2778,1.0,0.8043,0.9298,0.0,0.0,1.0,white,black,0.0234,LabelCandidate
h3,div,0.0,0.0,1.0,0.8333,0.6739,0.2927,0.6667,1.0,1.0,white,black,0.0789,LabelCandidate
h3,div,0.0,0.0,1.0,0.8333,0.6739,0.6341,0.6667,1.0,1.0,white,black,0.0868,LabelCandidate
span,div,0.0,0.0,0.0,0.8824,0.7041,0.9745,0.5,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7778,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.754,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.2,0.7778,0.1633,0.8585,0.1176,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8532,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.8227,0.1176,0.0,1.0,grey,black,0.0035,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.5306,0.7183,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.6667,0.1633,0.695,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2,0.8333,0.5306,0.8585,0.1176,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7979,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.5306,0.7063,0.1176,0.0,1.0,grey,black,0.0042,LabelCandidate
label,div,1.0,0.0,0.4,0.8333,0.5306,0.8662,0.1176,0.0,1.0,grey,black,0.0033,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.3469,0.7619,0.1176,0.0,1.0,grey,black,0.0039,LabelCandidate
#text,td,0.0,0.0,0.1111,1.0,0.7391,0.3333,0.0,0.0,1.0,white,black,0.0231,LabelCandidate
span,div,0.0,0.0,0.0,0.8824,0.7041,0.9745,0.5,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.1633,0.6587,0.1176,0.0,1.0,red,black,0.0039,LabelCandidate
label,div,1.0,0.0,0.1429,0.8095,0.1633,0.7624,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.2857,0.6667,0.5306,0.727,0.1176,0.0,1.0,grey,black,0.0041,LabelCandidate
label,div,1.0,0.0,0.2,0.7778,0.1633,0.8662,0.1176,0.0,1.0,grey,black,0.003,LabelCandidate
label,div,1.0,0.0,0.1429,0.6667,0.1633,0.6879,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
label,div,1.0,0.0,0.1429,0.619,0.5306,0.8865,0.1176,0.0,1.0,grey,black,0.0037,LabelCandidate
